,icoPriceUsd,currentStage,goalUsd,total_supply,is_active,price,exchangeName,n_contracts,isbnb,tags_reduce,iseth,issol,ismatic,isada,isavax,lifeday,dayscreated
557,0.015,1,150000.0,250000000.0,1,0.0030510826852025693,10,1.0,0,6,1,0,0,0,0,663,663
558,0.2,1,400000.0,30000000.0,0,0.015767031947208777,10,1.0,0,10,0,0,1,0,0,214,726
559,0.095,1,3800000.0,1000000000.0,1,0.0015853731257878952,10,1.0,0,3,1,0,0,0,0,652,652
560,0.015,0,2000000.0,9326620139.0,1,3.4804731321792287e-08,10,2.0,1,10,1,0,0,0,0,667,667
561,0.01,1,300000.0,126868993.0,1,0.003976432534641944,10,2.0,1,6,0,0,1,0,0,667,667
562,0.05,5,300000000.0,100000000.0,0,0.005448016702638609,10,1.0,1,10,0,0,0,0,0,561,663
563,0.37,2,300000.0,1e+17,1,0.0008786011275155432,10,2.0,1,10,1,0,0,0,0,723,723
564,0.02,1,120000.0,1000000000.0,1,7.630920061777279e-05,10,1.0,1,6,0,0,0,0,0,654,654
565,0.015,1,150000.0,250000000.0,1,0.0030510826852025693,12,1.0,0,6,1,0,0,0,0,663,663
566,0.02,1,180000.0,1000000000.0,1,7.630920061777279e-05,10,1.0,1,6,0,0,0,0,0,654,654
567,0.25,1,170000.0,1e+17,0,0.020934029926032396,4,1.0,1,10,0,0,0,0,0,517,684
568,0.25,1,250000.0,1e+17,0,0.020934029926032396,10,1.0,1,10,0,0,0,0,0,517,684
569,0.001,1,466131.0,2000000000.0,0,5.013838691801041e-05,10,1.0,1,10,0,0,0,0,0,407,650
570,0.06,2,100000.0,468000000.0,1,0.0018153839003476682,10,1.0,1,10,0,0,0,0,0,673,673
571,0.06,1,50000.0,468000000.0,1,0.0018153839003476682,10,1.0,1,10,0,0,0,0,0,673,673
572,0.06,1,100000.0,468000000.0,1,0.0018153839003476682,10,1.0,1,10,0,0,0,0,0,673,673
573,0.06,1,100000.0,468000000.0,1,0.0018153839003476682,10,1.0,1,10,0,0,0,0,0,673,673
574,0.06,1,111600.0,468000000.0,1,0.0018153839003476682,10,1.0,1,10,0,0,0,0,0,673,673
575,0.06,2,100000.0,468000000.0,1,0.0018153839003476682,10,1.0,1,10,0,0,0,0,0,673,673
576,0.02,1,200000.0,335000000.0,1,4.340555461325026e-05,10,1.0,0,10,0,0,0,0,0,658,658
577,0.015,1,150000.0,250000000.0,1,0.0030510826852025693,10,1.0,0,6,1,0,0,0,0,663,663
578,0.55,1,70000.0,10000000.0,0,0.011990294075806535,4,1.0,1,10,0,0,0,0,0,267,557
579,0.2,1,100000.0,100000000.0,1,0.020117534735451154,10,1.0,0,6,0,0,1,0,0,759,759
580,0.0,0,300000000.0,30000000.0,1,2.902267719166398,1,1.0,1,10,0,0,0,0,0,654,654
581,0.0425,1,470000.0,1e+17,0,0.0,10,1.0,1,1,0,0,0,0,0,880,880
582,0.003,1,300000000.0,1e+17,1,0.04486460609310132,10,5.0,1,10,1,0,1,0,1,928,928
583,0.25,1,250000.0,100000000.0,1,0.011217761154314315,10,2.0,0,10,0,1,0,0,1,701,701
